num	level	id	Art	IW	EOL%	EOL	OL	
Waraynon	1982881	0
Psychotria_sorsogonensis	2653939	3
MacArthur,_Leyte	165	16
Caluya	2539	15
Trichotosia_leytensis	2311154	3
Waray_Wikipedia	121081	37
Yoyoy_Villame	4206	6
Bulod,_Barugo,_Leyte	249	1
Nothaphoebe_leytensis	2778204	3
Oberonia_leytensis	2284149	3
Capiz	110	31
Lepidozona_sorsogonensis	193060	3
Discocalyx_leytensis	2177314	3
Guinsaugon,_Saint_Bernard,_Southern_Leyte	3531	7
San_Jose,_Negros_Oriental	2609	16
Ibajay	2869	16
Canlaon	4368	15
Hiligaynon	5787	26
Onthophagus_leytensis	1794911	5
San_Pascual,_Masbate	5738	14
Antique	109	31
Maydolong	187	15
Eastern_Samar_State_University	264447	2
Calingcaguing,_Barugo,_Leyte	253	1
Liloan,_Southern_Leyte	211	15
Zeuxine_leytensis	2312880	3
Orophea_leytensis	1991144	2
Metopidiothrix_leyte	371646	2
Adinandra_leytensis	2172204	3
Castilla,_Sorsogon	5761	14
Ben_Zubiri	4034	2
Can-avid	426	15
Sibalom	3007	15
Southern_Leyte	87	30
Caibiran	51	15
Matuguinao	144	13
Victorina_A._Abellanosa	4752	2
Coleoscirus_leytensis	721466	2
Dumaguete	4370	24
Valencia,_Negros_Oriental	2647	17
Pilar,_Capiz	3073	14
Quinapondan	206	15
Inabaknon	74	8
Abuyog	24	16
Almagro,_Samar	138	15
Butnga_nga_Kabisay-an	106	33
Holotrichia_sorsogona	1731072	2
An_Marol_Han_Leyte	155563	0
Simulium_leytense	1477854	2
Rubus_sorsogonensis	2094819	2
Merida,_Leyte	224	17
Bulbophyllum_leytense	2231979	5
Batuan,_Masbate	4557	15
Staurochilus_leytensis	2305125	2
Dulag,_Leyte	151	15
Pongso,_Barugo,_Leyte	274	0
Motiong	145	13
Hilaba,_Barugo,_Leyte	261	0
Dolores,_Eastern_Samar	188	16
Saprovisca_leytensis	1781101	2
Busay,_Barugo,_Leyte	250	1
Memecylon_sorsogonense	2671751	2
Masbatenyo_nga_yinaknan	7639	11
Dagat_Bohol	27380	37
Rosario,_Northern_Samar	543	14
Hoya_leytensis	2608697	2
Rhododendron_leytense	2169123	1
Croton_pleytei	2717810	3
Sinirangan_Bisayas	17	29
Nabas,_Aklan	5636	15
Alejandro_Balderian	70	0
Duka,_Barugo,_Leyte	258	0
Guimaras	111	32
Esperanza,_Masbate	5714	14
Arteche	133	15
Placer,_Masbate	5736	14
An_Iroy_nga_Tuna	155611	0
Antonio_Abad	4530	4
Albuera,_Leyte	27	15
Ormoc	21	21
Tabontabon,_Leyte	166	15
Capoocan	127	15
Ganoderma_leytense	1928063	2
Pavetta_leytensis	2647078	3
Pandanus_biliranensis	2447107	3
Micromacronus_leytensis	459897	9
Zumarraga,_Samar	105	14
Mitrephora_sorsogonensis	1990793	2
Naval,_Pilipinas	50	17
Luparan_Daniel_Z._Romualdez	135421	12
Oras,_Eastern_Samar	205	15
Appendicula_leytensis	2226629	3
Cabarasan,_Barugo,_Leyte	252	1
Sibulan	2643	15
Parachauliodes_kawarayamanus	738415	4
Leyte_(lalawigan)	15	34
Dumalag	3034	14
Syzygium_leytense	2694088	3
Santa_Catalina,_Negros_Oriental	2611	17
Jamindan	3041	15
Hinabangan	141	13
Catarman	67	17
Sorsogona_prionota	492769	5
Bugasong	2538	16
Higatangan	4204	0
Syudad_san_Sorsogon	5742	17
Kananga,_Leyte	219	15
Tacloban	22	73
San_Juan,_Southern_Leyte	333	17
Paranas	169	13
Negros_Occidental	113	31
Maragtas_S._V._Amante	4489	1
Catbalogan	47	17
Sorsogona_nigripinna	492755	5
Buruanga	2868	16
Monreal,_Masbate	5732	14
Salcedo,_Eastern_Samar	185	15
Ivisan	3039	14
Vallehermoso,_Negros_Oriental	2674	13
Patnongon	3000	15
Sebaste,_Antique	3005	17
Cabucgayan	52	15
Balangiga	427	15
Ardisia_leytensis	2175662	3
San_Jose_de_Buenavista	3002	18
Laua-an	2985	16
San_Jorge,_Samar	172	13
Milagros,_Masbate	5730	15
Amlan	677	17
Santa_Rita,_Samar	48	13
Palaquium_sorsogonense	2184137	3
Caluyanon_nga_yinaknan	7638	6
Bohol_(purô)	131159	1
Glicerio_Erfe	69	0
Domingo_Ezguerra	4031	0
Biliran,_Biliran	158	16
Joseph_Uy	6501	0
Agalmyla_bilirana	2559500	3
San_Antonio,_Northern_Samar	553	14
Siaton	2635	16
Bato,_Leyte	202	16
Calbayog	20	18
Gobernador_han_Southern_Leyte	3261	0
Southern_Leyte_State_University	264472	4
Tutug-an,_Barugo,_Leyte	280	0
Francisco_Dagohoy	4728	5
Croton_leytensis	2716978	3
Makato	2910	15
Anini-y	2524	16
Sulat	175	15
Eduardo_Makabenta,_Sr.	3950	0
Zamboanguita	2676	15
Mayorga,_Leyte	129	18
San_Isidro,_Leyte	225	15
Tunga,_Leyte	215	15
Llorente,_Eastern_Samar	443	15
Harlin_Abayon	6505	1
Tulay_Mandaue-Mactan	17342	3
Martin_Abellana	4786	2
Kasadya_Ning_Taknaa	5786	2
Malitbog,_Southern_Leyte	64	15
Guiuan	186	15
Silvino_Lobos,_Northern_Samar	463	14
Bayawan	4366	15
Barcelona,_Sorsogon	5757	16
Carigara	54	16
Tangalan	2916	15
Abango,_Barugo,_Leyte	226	1
Dumarao	3035	14
Syudad_san_Masbate	3990	20
Eastern_Samar	86	31
Phaeacius_leytensis	634285	6
Rodrigo_de_Vargas	6112	0
Waraynon_nga_literatura	8178	2
Sumuroy	62	2
Canthium_leytense	2624126	3
Lehislatibo_nga_mga_Distrito_han_Samar	162870	3
Anahawan	147	16
Dendrobium_leytense	2251551	3
Sorsogona_humerosa	492757	5
Valeriano_Abanador	71	1
Pedro_Chirino	6111	1
Biliran_(purô)	131146	3
San_Fernando,_Masbate	5740	14
Casiguran,_Sorsogon	5759	14
Catubig	529	14
Mabinay	2577	17
Talaan_hin_mga_alkalde_han_Basay	8089	0
Eleazar_T._Acampado	5197	1
San_Isidro,_Northern_Samar	552	15
Balangkayan	440	15
Ibag,_Barugo,_Leyte	263	0
Hinugayan,_Barugo,_Leyte	262	0
Barbaza	2526	16
San_Roque,_Northern_Samar	550	14
Jaro,_Leyte	122	16
Culasi	2933	15
Gobernador_han_Biliran	3259	0
Hermarchus_leytensis	897523	3
San_Jose_de_Buan	173	13
Golpo_han_Leyte	25496	12
Balud,_Masbate	3994	14
Balire,_Barugo,_Leyte	246	1
Santa_Rosa,_Barugo,_Leyte	278	0
Litsea_leytensis	2781717	4
Herminigildo_A._Sanchez	168004	0
Akademiya_sa_Dilang_Bisaya	4208	4
Pachliopta_leytensis	1568211	4
Baranggay	535	32
Sanghiran_san_Binisaya	3020	1
Javier,_Leyte	149	17
Ascochilus_leytensis	2227083	3
Sapi-an	3079	14
Minuhang,_Barugo,_Leyte	264	0
Baleno,_Masbate	3992	15
Borongan	61	18
Iloilo	112	32
La_Paz,_Leyte	128	17
Saurauia_sorsogonensis	2158036	2
Aporosa_leytensis	2743295	3
Gobernador_san_Northern_Samar	3258	0
Pitogo,_Barugo,_Leyte	267	0
Allen,_Northern_Samar	464	15
Unibersidad_han_Pilipinas_Manila_Eskoylahan_han_Syensya_Panlawas_ha_Leyte	264459	1
Plagiostenopterina_leytensis	1418764	2
Pastrana,_Leyte	130	15
Lista_han_mga_alkalde_han_Catbalogan	6757	0
Serafin_Marabut	158142	0
Luparan_han_Biliran	264440	3
Samar_(purô)	13	42
Santo_Niño,_Samar	183	13
Minuswang,_Barugo,_Leyte	265	0
Porohanon	7636	1
Ma-ayon	3051	15
Numancia,_Aklan	2929	15
Marabut	143	13
Sorsogon	3850	32
Dagat_Camotes	27382	27
Maripipi	338	16
Sinugboanon	73	63
Sorsogona_portuguesa	492762	5
Macaranga_pleytei	2730000	3
Leyte_Kalipayan_Dance_Company	3416	1
Pardosa_warayensis	650163	6
Santarin,_Barugo,_Leyte	279	0
La_Libertad,_Negros_Oriental	2576	16
Cuartero	3028	14
Canomantag,_Barugo,_Leyte	255	0
Cyrtandra_sorsogonensis	2565627	3
Ted_Failon	7405	4
Talalora	181	13
Can-isak,_Barugo,_Leyte	254	1
Libacao	2906	17
Calbiga	124	14
Taft,_Eastern_Samar	174	15
President_Roxas,_Capiz	3077	14
Lysiteles_sorsogonensis	607110	4
Tsokolate_nga_bukid-bukid	18096	25
Cyathea_biliranensis	2022814	3
Voltaire_Q._Oyzon	101577	0
Liparis_leytensis	2276188	3
San_Miguel,_Leyte	125	15
Mga_Tinuohan_han_mga_Waraynon	155628	0
Panay,_Capiz	3066	14
Francisco_Alvarado	1034	2
Lope_de_Vega,_Northern_Samar	532	14
Guihulngan	2573	17
Palanas,_Masbate	5733	14
Tanjay	2613	15
Sogod,_Southern_Leyte	65	15
Nueva_Valencia	3089	16
Tulay_Marcelo_Fernan	3053	6
Julita,_Leyte	150	15
Norberto_Romuáldez,_Sr.	970	5
Poblacion_Dist._IV,_Barugo,_Leyte	272	0
Gobernador_han_Leyte	554	1
Jimalalud	2575	18
Banga,_Aklan	2864	16
Akeanon	6612	17
Alkalde_han_Tacloban	23	1
Waray	72	53
Batan,_Aklan	2866	16
Balud,_Barugo,_Leyte	247	1
Belison	2529	16
Isabel,_Leyte	218	15
Siebenrockiella_leytensis	425204	10
Leyte,_Leyte	167	17
Pilar,_Sorsogon	5764	14
Malay,_Aklan	2912	17
Panitan	3071	14
Madalag	2908	16
Sigma,_Capiz	3081	15
Entomophthora_leyteensis	1942598	2
Art_Ramasasa	6502	1
Kabisay-an	18	46
Hernani,_Eastern_Samar	447	15
Diplospora_sorsogonensis	2628577	3
Schefflera_leytensis	2011806	3
Poblacion_Dist._I,_Barugo,_Leyte	268	0
Poblacion_Dist._VI_(New_Road),_Barugo,_Leyte	273	0
Tibiao	3009	15
Biri,_Northern_Samar	530	14
Bais,_Pilipinas	4364	18
Sciades_masbatensis	1640201	5
Sorsogona_melanoptera	492751	5
Biliran	12	30
Cabolo-an,_Barugo,_Leyte	251	1
Elatostema_sorsogonense	2098663	3
Tamblot	6157	0
Onofre_Abellanosa	4755	2
Bacong	1173	16
Kalibo	2902	20
Poblacion_Dist._V,_Barugo,_Leyte	271	0
Mondragon,_Northern_Samar	465	14
Matag-ob	222	15
Max_Surban	4205	4
Saint_Bernard,_Southern_Leyte	335	18
Aroroy	3988	14
Cuta,_Barugo,_Leyte	256	0
Las_Navas,_Northern_Samar	546	15
Sorsogona_tuberculata	492774	5
Babatngon	56	15
Pagsanghan	146	13
Daram,_Samar	139	14
Jiabong	142	13
Santa_Margarita,_Samar	178	13
Cansamada_West,_Dagami,_Leyte	7759	0
Maasin	19	16
Sugbuanon_Na_Ni	4885	2
Lista_san_mga_Alkalde_san_Catarman	8072	0
Gobernador_han_Eastern_Samar	3260	0
Ayungon	692	16
Aedes_sorsogonensis	1301151	2
Francisco_H._Baltazar	8889	0
Bindoy	1261	16
Pinabacdao	171	13
Maslog	442	15
Masbate_(purô)	131158	25
Lezo,_Aklan	2904	16
Ramón_D._Abellanosa	4754	2
Ficus_pleyteana	2080071	3
Padre_Burgos,_Southern_Leyte	336	14
San_Isidro,_Barugo,_Leyte	276	0
Amahit,_Barugo,_Leyte	231	0
Macaranga_leytensis	2729830	3
San_Remigio,_Antique	5638	15
Negros_Oriental	97	34
Pandan,_Antique	2998	15
Bontoc,_Southern_Leyte	207	14
Poblacion_Dist._III,_Barugo,_Leyte	270	0
Piper_sorsogonum	2853227	2
León_Kilat	1133	2
San_Policarpo	176	15
General_MacArthur,_Eastern_Samar	444	16
Medinilla_leytensis	2670936	2
Tagapul-an	182	13
Dauin	1263	16
Tobias_Fornier	3011	15
Kinaray-a	6611	13
Gamay,_Northern_Samar	528	14
Jaime_C._de_Veyra	6499	5
Ruperto_Kangleon	4203	3
Saurauia_leytensis	2157830	2
Laoang	544	15
Leyte_(pansayod)	83	11
Manjuyod	2578	16
Obdulia_Cinco	4323	0
Roosevelt,_Barugo,_Leyte	275	0
San_Vicente,_Northern_Samar	551	14
Pamplona,_Negros_Oriental	2607	15
Hydnophytum_leytense	2635683	3
Binisaya	3785	10
Taeniophyllum_leytense	2307729	3
Balete,_Aklan	2839	16
Dagami	119	15
Casiano_Trinchera	4879	0
Hiagsam,_Barugo,_Leyte	260	0
Tulay_San_Juanico	3055	11
Poblacion_Dist._II,_Barugo,_Leyte	269	0
Barugo	55	15
Jipapad	170	15
Alangalang	216	16
Vicente_Rubi	5785	1
Doms_Pagliawan	17357	0
Panay	1213	36
Vicente_I._de_Veyra	4880	0
Magallanes,_Sorsogon	5765	14
Mambusao	3064	14
Almeria,_Biliran	184	16
Malinao,_Aklan	2914	15
Hoya_pseudoleytensis	2608867	2
Libertad,_Antique	2996	15
Hamtic	2982	15
Palo,_Leyte	164	16
San_Jose,_Northern_Samar	549	14
Tapaz	3083	15
San_Roque,_Barugo,_Leyte	277	0
Pedro_Acerden	4737	2
Tayasan	2645	16
Mobo,_Masbate	5731	14
Iluminado_Lucente	449	3
New_Washington,_Aklan	2931	15
Tarangnan	180	13
Tolosa,_Leyte	152	16
Sochinsogonia_leyteensis	982562	2
Villareal,_Samar	49	13
Brachirus_sorsogonensis	496829	8
Phyllanthus_leytensis	2747600	3
Valderrama,_Antique	3013	15
Basay,_Negros_Oriental	1175	16
Jordan,_Pilipinas	3092	17
Limnonectes_leytensis	590204	8
Lapinig,_Northern_Samar	545	15
San_Jacinto,_Masbate	5739	14
Ophiorrhiza_sorsogonensis	2644781	3
Jacinto_Alcos	4878	2
Sorsogona	492748	5
Bulan,_Sorsogon	5758	14
Basay	46	14
Mateo_Sánchez	4202	0
Sugbo	99	42
Francisco_C._Alvarez	3405	2
Negros	1214	39
Juban,_Sorsogon	5766	14
Pontevedra,_Capiz	3075	14
San_Francisco,_Southern_Leyte	334	15
Ixora_leytensis	2636884	3
Tanauan,_Leyte	153	14
Santa_Fe,_Leyte	126	15
Sibunag	3085	15
José_Avelino	4087	5
Temistokles_Adlawan	4745	2
Dischidia_sorsogonensis	2598656	2
Leyte	14	41
Bobon,_Northern_Samar	541	14
Giporlos	445	15
Aristolochia_leytensis	2846825	4
Dao,_Capiz	3031	14
Ildefonso_Cinco	194	0
Janis_Claire_Salvacion	101575	0
Lawaan	425	15
Lavezares	540	14
Mercedes,_Eastern_Samar	441	15
Masbate	3847	33
Leyte_Normal_University	264452	3
Agrostophyllum_leytense	2223794	3
Burauen	131	15
Victoria,_Northern_Samar	461	14
San_Julian,_Eastern_Samar	177	15
Guindaohan,_Barugo,_Leyte	259	0
San_Sebastian,_Samar	179	13
Urophyllum_leytense	2662874	3
Etlingera_sorsogonensis	2456045	3
Mapanas	531	14
Meubelia_leytensis	789767	3
Pikas,_Barugo,_Leyte	266	0
Busay_Pinipisakan	5366	0
Claveria,_Masbate	5710	14
Francisco_Ignacio_Alcina	450	3
Argyreia_sorsogonensis	2832642	2
Bukid,_Barugo,_Leyte	248	1
Domogdog,_Barugo,_Leyte	257	0
Bohol	96	44
Kawayan,_Biliran	339	15
Aklan	108	34
Altavas	2836	17
